InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
577768,21123,SET/10 IVORY POLKADOT PARTY CANDLES,1,11/21/2011 15:18,0.83,,United Kingdom
577358,35095B,RED VICTORIAN FABRIC OVAL BOX,3,11/18/2011 15:59,0.83,,United Kingdom
567899,21471,STRAWBERRY RAFFIA FOOD COVER,6,9/22/2011 16:26,3.75,14911.0,EIRE
549325,23159,SET OF 5 PANCAKE DAY MAGNETS,12,4/8/2011 10:32,2.08,12717.0,Greece
555650,22082,RIBBON REEL STRIPES DESIGN ,10,6/6/2011 13:48,1.65,14156.0,EIRE
570467,22706,WRAP COWBOYS  ,25,10/10/2011 16:06,0.42,12607.0,USA
564436,22556,PLASTERS IN TIN CIRCUS PARADE ,1,8/25/2011 12:06,1.65,17841.0,United Kingdom
576837,22355,CHARLOTTE BAG SUKI DESIGN,3,11/16/2011 15:16,1.63,,United Kingdom
580305,23177,TREASURE ISLAND BOOK BOX,1,12/2/2011 14:26,2.25,12970.0,United Kingdom
536876,90214Y,"LETTER ""Y"" BLING KEY RING",1,12/3/2010 11:36,0.85,,United Kingdom
547553,22273,FELTCRAFT DOLL MOLLY,1,3/23/2011 16:00,2.95,15644.0,United Kingdom
563203,21524,DOORMAT SPOTTY HOME SWEET HOME,10,8/14/2011 11:31,6.75,16525.0,United Kingdom
C542714,21843,RED RETROSPOT CAKE STAND,-5,1/31/2011 13:28,10.95,12437.0,France
574846,22599,CHRISTMAS MUSICAL ZINC STAR,30,11/7/2011 11:59,0.29,14702.0,United Kingdom
539243,20856,DENIM PATCH PURSE PINK BUTTERFLY,1,12/16/2010 13:21,1.65,18116.0,United Kingdom
566094,22360,GLASS JAR ENGLISH CONFECTIONERY,1,9/9/2011 10:42,2.95,17965.0,United Kingdom
568185,85071A,BLUE CHARLIE+LOLA PERSONAL DOORSIGN,1,9/25/2011 14:08,0.39,16594.0,United Kingdom
566822,22466,FAIRY TALE COTTAGE NIGHT LIGHT,12,9/15/2011 11:33,1.95,17677.0,United Kingdom
579167,23357,HOT WATER BOTTLE SEX BOMB,3,11/28/2011 14:06,4.95,16800.0,United Kingdom
537692,21166,COOK WITH WINE METAL SIGN ,12,12/8/2010 10:40,1.95,14796.0,United Kingdom
569672,22425,ENAMEL COLANDER CREAM,1,10/5/2011 13:58,4.95,17841.0,United Kingdom
577524,21819,GLITTER CHRISTMAS STAR ,36,11/20/2011 13:33,0.39,16905.0,United Kingdom
C536625,22839,3 TIER CAKE TIN GREEN AND CREAM,-2,12/2/2010 10:46,14.95,14766.0,United Kingdom
580908,22991,GIRAFFE WOODEN RULER,1,12/6/2011 13:20,1.95,16495.0,United Kingdom
538349,22964,3 PIECE SPACEBOY COOKIE CUTTER SET,4,12/10/2010 14:59,4.21,,United Kingdom
543300,21918,SET 12 KIDS COLOUR  CHALK STICKS,6,2/7/2011 11:42,0.42,13334.0,United Kingdom
560264,23099,FRENCH CARRIAGE LANTERN,2,7/17/2011 13:46,6.65,12833.0,United Kingdom
566060,21916,SET 12 RETRO WHITE CHALK STICKS,1,9/8/2011 15:27,0.83,,United Kingdom
566756,23229,VINTAGE DONKEY TAIL GAME ,6,9/14/2011 15:54,3.75,12457.0,Switzerland
552668,48116,DOORMAT MULTICOLOUR STRIPE,1,5/10/2011 15:05,14.13,,United Kingdom
556237,22439,6 ROCKET BALLOONS ,2,6/9/2011 15:34,1.25,,United Kingdom
560225,84596B,SMALL DOLLY MIX DESIGN ORANGE BOWL,2,7/15/2011 16:27,0.83,,United Kingdom
538641,22112,CHOCOLATE HOT WATER BOTTLE,6,12/13/2010 14:36,4.95,15640.0,United Kingdom
574965,23084,RABBIT NIGHT LIGHT,4,11/8/2011 10:44,2.08,17964.0,United Kingdom
577493,23209,LUNCH BAG VINTAGE DOILY ,2,11/20/2011 12:13,1.65,17323.0,United Kingdom
539249,22663,JUMBO BAG DOLLY GIRL DESIGN,10,12/16/2010 13:43,1.95,14709.0,United Kingdom
539688,C2,CARRIAGE,1,12/21/2010 11:00,150.0,12678.0,France
543481,22540,MINI JIGSAW CIRCUS PARADE ,20,2/8/2011 16:25,0.42,14606.0,United Kingdom
566193,21531,RED RETROSPOT SUGAR JAM BOWL,6,9/9/2011 13:37,2.55,14961.0,United Kingdom
536795,22866,HAND WARMER SCOTTY DOG DESIGN,24,12/2/2010 15:40,2.1,15640.0,United Kingdom
555640,23155,KNICKERBOCKERGLORY MAGNET ASSORTED ,12,6/6/2011 13:06,0.83,14475.0,United Kingdom
569372,85150,LADIES & GENTLEMEN METAL SIGN,2,10/3/2011 16:04,4.96,,United Kingdom
568692,47590B,PINK HAPPY BIRTHDAY BUNTING,3,9/28/2011 14:48,5.45,13901.0,United Kingdom
554096,21222,SET/4 BADGES BEETLES,20,5/22/2011 12:51,1.25,14921.0,United Kingdom
552463,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,16,5/9/2011 14:54,0.65,14699.0,United Kingdom
570676,23118,PARISIENNE JEWELLERY DRAWER ,2,10/11/2011 15:10,7.5,14640.0,United Kingdom
572931,23532,WALL ART WORK REST AND PLAY  ,3,10/27/2011 10:02,4.95,17613.0,United Kingdom
539075,47559B,TEA TIME OVEN GLOVE,1,12/15/2010 17:28,1.25,17189.0,United Kingdom
569384,84976,RECTANGULAR SHAPED MIRROR,12,10/3/2011 16:47,0.79,15159.0,United Kingdom
576538,21833,CAMOUFLAGE LED TORCH,12,11/15/2011 12:42,1.69,14725.0,United Kingdom
547058,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,4,3/20/2011 12:44,3.75,14232.0,United Kingdom
548014,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,4,3/29/2011 11:29,3.75,17719.0,United Kingdom
549257,21931,JUMBO STORAGE BAG SUKI,1,4/7/2011 12:29,2.08,14465.0,United Kingdom
568701,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,3,9/28/2011 15:07,4.95,13924.0,United Kingdom
555397,84988,SET OF 72 PINK HEART PAPER DOILIES,2,6/2/2011 17:26,2.92,,United Kingdom
561528,22984,CARD GINGHAM ROSE ,12,7/28/2011 8:55,0.42,13098.0,United Kingdom
560036,23172,REGENCY TEA PLATE PINK,12,7/14/2011 13:51,1.65,14911.0,EIRE
550352,21497,FANCY FONTS BIRTHDAY WRAP,25,4/18/2011 10:21,0.42,16719.0,United Kingdom
570888,20972,PINK CREAM FELT CRAFT TRINKET BOX ,12,10/13/2011 10:26,1.25,17509.0,United Kingdom
550321,22271,FELTCRAFT DOLL ROSIE,2,4/17/2011 12:49,2.95,16770.0,United Kingdom
564632,22847,BREAD BIN DINER STYLE IVORY,1,8/26/2011 11:58,16.95,16556.0,United Kingdom
556426,23208,LUNCH BAG VINTAGE LEAF DESIGN,10,6/10/2011 13:18,1.65,16729.0,United Kingdom
563061,85049E,SCANDINAVIAN REDS RIBBONS,12,8/11/2011 15:25,1.25,13588.0,United Kingdom
545559,22804,CANDLEHOLDER PINK HANGING HEART,1,3/3/2011 15:31,2.95,15005.0,United Kingdom
576201,21918,SET 12 KIDS COLOUR  CHALK STICKS,1,11/14/2011 12:18,0.42,14606.0,United Kingdom
581219,23280,FOLDING BUTTERFLY MIRROR HOT PINK ,1,12/8/2011 9:28,2.46,,United Kingdom
563543,22644,CERAMIC CHERRY CAKE MONEY BANK,1,8/17/2011 12:06,1.45,15039.0,United Kingdom
559542,23266,SET OF 3 WOODEN STOCKING DECORATION,1,7/10/2011 13:32,1.25,17126.0,United Kingdom
541133,M,Manual,1,1/14/2011 10:17,2.5,,United Kingdom
555343,22243,5 HOOK HANGER RED MAGIC TOADSTOOL,6,6/2/2011 11:42,1.65,15918.0,United Kingdom
578032,23350,ROLL WRAP VINTAGE SPOT ,12,11/22/2011 13:41,1.25,16633.0,United Kingdom
564742,23438, RED SPOT GIFT BAG LARGE,1,8/28/2011 15:01,1.25,17346.0,United Kingdom
569234,20971,PINK BLUE FELT CRAFT TRINKET BOX,1,10/2/2011 15:33,1.25,17841.0,United Kingdom
545514,20981,12 PENCILS TALL TUBE WOODLAND,10,3/3/2011 12:06,0.85,15053.0,United Kingdom
576076,23549,WRAP BIRD GARDEN ,25,11/13/2011 16:18,0.42,14382.0,United Kingdom
575957,51014C,"FEATHER PEN,COAL BLACK",12,11/13/2011 12:19,0.39,13170.0,United Kingdom
569132,22681,FRENCH BLUE METAL DOOR SIGN 6,3,9/30/2011 13:54,1.25,17757.0,United Kingdom
553505,22801,ANTIQUE GLASS PEDESTAL BOWL,4,5/17/2011 13:27,3.75,12949.0,United Kingdom
563578,22197,POPCORN HOLDER,24,8/17/2011 15:11,0.85,12949.0,United Kingdom
547793,22796,PHOTO FRAME 3 CLASSIC HANGING,4,3/25/2011 12:10,9.95,14758.0,United Kingdom
544042,84968E,SET OF 16 VINTAGE BLACK CUTLERY,1,2/15/2011 11:52,12.75,14527.0,United Kingdom
576784,23504,PLAYING CARDS JUBILEE UNION JACK,3,11/16/2011 13:40,1.25,16204.0,United Kingdom
557069,15056N,EDWARDIAN PARASOL NATURAL,3,6/16/2011 15:22,5.95,12562.0,France
580469,23293,SET OF 12 FAIRY CAKE BAKING CASES,2,12/4/2011 12:32,0.83,14583.0,United Kingdom
580048,23207,LUNCH BAG ALPHABET DESIGN,1,12/1/2011 12:53,1.65,12748.0,United Kingdom
542795,22802,FAUX FUR CHOCOLATE THROW,1,2/1/2011 10:59,19.95,18055.0,United Kingdom
536819,22429,ENAMEL MEASURING JUG CREAM,4,12/2/2010 17:12,4.25,13402.0,United Kingdom
575477,22961,JAM MAKING SET PRINTED,10,11/9/2011 16:14,3.29,,United Kingdom
572103,22314,OFFICE MUG WARMER CHOC+BLUE,1,10/20/2011 15:57,2.95,17571.0,United Kingdom
581266,22074,6 RIBBONS SHIMMERING PINKS ,24,12/8/2011 11:25,0.39,12621.0,Germany
575298,23403,LETTER HOLDER HOME SWEET HOME,1,11/9/2011 12:29,3.75,17841.0,United Kingdom
542895,85066,CREAM SWEETHEART MINI CHEST,1,2/1/2011 13:47,12.75,14549.0,United Kingdom
571081,23322,LARGE WHITE HEART OF WICKER,3,10/13/2011 15:23,2.95,16775.0,United Kingdom
541696,22161,HEART DECORATION RUSTIC HANGING ,2,1/20/2011 18:08,0.79,,United Kingdom
559523,22469,HEART OF WICKER SMALL,6,7/8/2011 17:19,1.65,13955.0,United Kingdom
572224,22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,12,10/21/2011 13:46,0.85,16558.0,United Kingdom
577476,21172,PARTY METAL SIGN ,12,11/20/2011 11:31,1.45,12540.0,Spain
550272,22207,FRYING PAN UNION FLAG,1,4/15/2011 12:14,4.25,18079.0,United Kingdom
571061,22379,RECYCLING BAG RETROSPOT ,5,10/13/2011 14:33,4.96,,United Kingdom
567211,23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,3,9/19/2011 11:02,3.75,14159.0,United Kingdom
561147,84991,60 TEATIME FAIRY CAKE CASES,24,7/25/2011 13:06,0.55,16841.0,United Kingdom
553211,22558,CLOTHES PEGS RETROSPOT PACK 24 ,12,5/16/2011 9:40,1.65,15358.0,United Kingdom
564475,23213,STAR WREATH DECORATION WITH BELL,72,8/25/2011 12:50,1.25,12500.0,Germany
556812,90119,METALIC LEAVES BAG CHARMS,1,6/14/2011 17:25,2.46,,United Kingdom
547250,22279,POCKET BAG BLUE PAISLEY RED SPOT,11,3/22/2011 9:30,2.46,,United Kingdom
551857,21466,RED FLOWER CROCHET FOOD COVER,6,5/4/2011 15:33,3.75,13037.0,United Kingdom
580727,84926D,LA PALMIERA TILE COASTER,1,12/5/2011 17:17,2.46,14096.0,United Kingdom
550957,21931,JUMBO STORAGE BAG SUKI,1,4/21/2011 16:37,2.08,18283.0,United Kingdom
547069,22989,SET 2 PANTRY DESIGN TEA TOWELS,2,3/20/2011 13:52,3.25,16710.0,United Kingdom
553390,22173,METAL 4 HOOK HANGER FRENCH CHATEAU,1,5/16/2011 16:41,2.95,17841.0,United Kingdom
580115,85094,CANDY SPOT EGG WARMER RABBIT,1,12/1/2011 16:22,0.83,,United Kingdom
571841,23355,HOT WATER BOTTLE KEEP CALM,4,10/19/2011 12:21,4.95,17625.0,United Kingdom
544812,22217,T-LIGHT HOLDER HANGING LACE,1,2/23/2011 15:58,2.46,,United Kingdom
557476,15056N,EDWARDIAN PARASOL NATURAL,3,6/20/2011 13:41,5.95,18223.0,United Kingdom
561383,22624,IVORY KITCHEN SCALES,4,7/27/2011 8:35,8.5,13730.0,United Kingdom
558041,23321,SMALL WHITE HEART OF WICKER,12,6/24/2011 13:20,1.65,12422.0,Switzerland
578844,21314,SMALL GLASS HEART TRINKET POT,2,11/25/2011 16:14,4.13,,United Kingdom
579777,21832,CHOCOLATE CALCULATOR,1,11/30/2011 15:13,3.29,,United Kingdom
546466,22138,BAKING SET 9 PIECE RETROSPOT ,1,3/14/2011 11:04,4.95,18118.0,United Kingdom
543036,22913,RED COAT RACK PARIS FASHION,2,2/2/2011 15:57,4.95,17223.0,United Kingdom
578400,22450,SILK PURSE BABUSHKA BLUE,1,11/24/2011 11:52,3.35,12748.0,United Kingdom
571328,23437, 50'S CHRISTMAS GIFT BAG LARGE,12,10/17/2011 11:27,1.25,12473.0,Germany
560694,21929,JUMBO BAG PINK VINTAGE PAISLEY,20,7/20/2011 12:05,2.08,12757.0,Portugal
556473,22115,METAL SIGN EMPIRE TEA,1,6/12/2011 12:00,2.95,17265.0,United Kingdom
577850,23479,WIRE EGG BASKET ,2,11/22/2011 11:04,7.85,14911.0,EIRE
565324,21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",2,9/2/2011 13:18,4.95,13232.0,United Kingdom
564221,20712,JUMBO BAG WOODLAND ANIMALS,47,8/24/2011 9:36,4.13,,United Kingdom
580956,21668,RED STRIPE CERAMIC DRAWER KNOB,9,12/6/2011 14:23,1.45,17841.0,United Kingdom
567859,22141,CHRISTMAS CRAFT TREE TOP ANGEL,6,9/22/2011 13:51,2.1,12936.0,United Kingdom
573397,23103,JINGLE BELL HEART DECORATION,4,10/30/2011 15:19,1.65,15547.0,United Kingdom
540681,10135,COLOURING PENCILS BROWN TUBE,9,1/10/2011 16:25,1.28,,United Kingdom
572045,47591D,PINK FAIRY CAKE CHILDRENS APRON,1,10/20/2011 12:11,1.95,14527.0,United Kingdom
536876,21829,DINOSAUR KEYRINGS ASSORTED,5,12/3/2010 11:36,0.43,,United Kingdom
581219,21481,FAWN BLUE HOT WATER BOTTLE,1,12/8/2011 9:28,7.46,,United Kingdom
539957,22961,JAM MAKING SET PRINTED,12,12/23/2010 12:58,1.45,12585.0,Germany
546421,22750,FELTCRAFT PRINCESS LOLA DOLL,1,3/13/2011 11:21,3.75,13700.0,United Kingdom
567901,85150,LADIES & GENTLEMEN METAL SIGN,1,9/22/2011 16:28,4.96,,United Kingdom
559146,84978,HANGING HEART JAR T-LIGHT HOLDER,24,7/6/2011 14:18,1.25,12921.0,United Kingdom
544202,22313,OFFICE MUG WARMER PINK,1,2/17/2011 10:29,8.29,,United Kingdom
568567,21872,GLAMOROUS  MUG,1,9/27/2011 18:41,3.29,,United Kingdom
540543,22645,CERAMIC HEART FAIRY CAKE MONEY BANK,8,1/9/2011 15:23,1.45,14395.0,United Kingdom
C542426,85049E,SCANDINAVIAN REDS RIBBONS,-12,1/28/2011 9:32,1.25,14146.0,United Kingdom
580516,51014A,"FEATHER PEN,HOT PINK",12,12/4/2011 14:15,0.39,17954.0,United Kingdom
569629,20725,LUNCH BAG RED RETROSPOT,10,10/5/2011 11:37,1.65,15249.0,United Kingdom
554922,21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,10,5/27/2011 12:47,2.08,14735.0,United Kingdom
555584,23174,REGENCY SUGAR BOWL GREEN,4,6/6/2011 9:04,4.15,16906.0,United Kingdom
575059,23367,SET 12 COLOUR PENCILS SPACEBOY ,1,11/8/2011 12:25,0.65,14071.0,United Kingdom
550832,22691,DOORMAT WELCOME SUNRISE,2,4/21/2011 10:31,7.95,17588.0,United Kingdom
546136,22355,CHARLOTTE BAG SUKI DESIGN,2,3/9/2011 16:32,1.63,,United Kingdom
579548,22507,MEMO BOARD RETROSPOT  DESIGN,4,11/30/2011 10:44,4.95,15073.0,United Kingdom
569222,23311,VINTAGE CHRISTMAS STOCKING ,6,10/2/2011 13:46,2.55,15906.0,United Kingdom
575117,21158,MOODY GIRL DOOR HANGER ,2,11/8/2011 14:22,0.39,12748.0,United Kingdom
538419,21981,PACK OF 12 WOODLAND TISSUES ,1,12/12/2010 12:01,0.29,16367.0,United Kingdom
537889,22072,RED RETROSPOT TEA CUP AND SAUCER ,8,12/9/2010 10:04,3.75,13319.0,United Kingdom
575367,22594,CHRISTMAS GINGHAM TREE,12,11/9/2011 15:05,0.85,15114.0,United Kingdom
557885,22180,RETROSPOT LAMP,2,6/23/2011 13:37,9.95,12465.0,Belgium
566290,22420,LIPSTICK PEN BABY PINK,1,9/11/2011 15:24,0.42,14456.0,United Kingdom
564820,22357,KINGS CHOICE BISCUIT TIN,1,8/30/2011 12:16,4.13,,United Kingdom
566266,21114,LAVENDER SCENTED FABRIC HEART,5,9/11/2011 13:22,1.25,17299.0,United Kingdom
552894,84507C,BLUE CIRCLES DESIGN MONKEY DOLL,1,5/12/2011 10:53,2.55,14606.0,United Kingdom
556797,22917,HERB MARKER ROSEMARY,12,6/14/2011 14:49,0.65,17101.0,United Kingdom
550458,22281,EASTER TREE YELLOW BIRDS,1,4/18/2011 13:13,12.46,,United Kingdom
572669,22636,CHILDS BREAKFAST SET CIRCUS PARADE,1,10/25/2011 13:10,8.5,16549.0,United Kingdom
565649,23207,LUNCH BAG ALPHABET DESIGN,3,9/5/2011 16:27,1.65,16712.0,United Kingdom
545215,22180,RETROSPOT LAMP,1,2/28/2011 16:47,20.79,,United Kingdom
557270,21624,VINTAGE UNION JACK DOORSTOP,2,6/19/2011 11:36,5.95,14162.0,United Kingdom
565443,23191,BUNDLE OF 3 RETRO NOTE BOOKS,12,9/4/2011 14:22,1.65,12567.0,France
575623,23329,DECORATIVE WICKER HEART LARGE,2,11/10/2011 13:14,1.65,14064.0,United Kingdom
578065,23372,SET 36 COLOUR PENCILS DOLLY GIRL,2,11/22/2011 15:41,2.46,,United Kingdom
554712,22203,MILK PAN RED RETROSPOT,8,5/26/2011 10:43,3.75,16873.0,United Kingdom
546882,72760B,VINTAGE CREAM 3 BASKET CAKE STAND,2,3/17/2011 17:26,9.95,14422.0,United Kingdom
543909,22789,T-LIGHT HOLDER SWEETHEART HANGING,1,2/14/2011 12:32,4.13,,United Kingdom
546388,22355,CHARLOTTE BAG SUKI DESIGN,94,3/11/2011 13:42,2.46,,United Kingdom
566783,22622,BOX OF VINTAGE ALPHABET BLOCKS,2,9/15/2011 10:18,11.95,13539.0,United Kingdom
578065,23211,RED ROCKING HORSE HAND PAINTED,5,11/22/2011 15:41,2.46,,United Kingdom
538529,47566,PARTY BUNTING,5,12/13/2010 10:24,4.65,14290.0,United Kingdom
580884,23319,BOX OF 6 MINI 50'S CRACKERS,1,12/6/2011 12:21,2.49,15907.0,United Kingdom
581395,23240,SET OF 4 KNICK KNACK TINS DOILY ,1,12/8/2011 13:18,4.15,16892.0,United Kingdom
569216,23002,TRAVEL CARD WALLET SKULLS,5,10/2/2011 12:41,0.42,15555.0,United Kingdom
540551,22032,BOTANICAL LILY GREETING CARD,1,1/10/2011 9:43,0.43,,United Kingdom
570191,21640,ASSORTED TUTTI FRUTTI  FOB NOTEBOOK,24,10/7/2011 15:23,0.85,12778.0,Netherlands
560926,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,3,7/22/2011 9:20,3.29,,United Kingdom
550740,22491,PACK OF 12 COLOURED PENCILS,1,4/20/2011 11:33,1.63,,United Kingdom
566746,82482,WOODEN PICTURE FRAME WHITE FINISH,6,9/14/2011 15:18,2.95,13321.0,United Kingdom
558683,21558,SKULL LUNCH BOX WITH CUTLERY ,1,7/1/2011 11:23,4.96,,United Kingdom
564758,22227,HANGING HEART MIRROR DECORATION ,1,8/30/2011 10:39,1.25,,United Kingdom
577103,84970S,HANGING HEART ZINC T-LIGHT HOLDER,12,11/17/2011 17:08,0.85,15081.0,United Kingdom
559068,22425,ENAMEL COLANDER CREAM,1,7/6/2011 10:41,4.95,17841.0,United Kingdom
570482,22776,SWEETHEART 3 TIER CAKE STAND ,1,10/10/2011 17:00,9.95,17459.0,United Kingdom
550138,23002,TRAVEL CARD WALLET SKULLS,4,4/14/2011 14:02,0.42,12841.0,United Kingdom
572058,22834,HAND WARMER BABUSHKA DESIGN,1,10/20/2011 12:43,2.1,18252.0,United Kingdom
560997,21680,WOODLAND  STICKERS,12,7/22/2011 13:59,0.85,12627.0,Germany
540803,21916,SET 12 RETRO WHITE CHALK STICKS,10,1/11/2011 12:30,0.42,14669.0,United Kingdom
546008,22817,CARD SUKI BIRTHDAY,1,3/8/2011 15:43,0.83,,United Kingdom
573278,21485,RETROSPOT HEART HOT WATER BOTTLE,6,10/28/2011 13:19,4.95,16102.0,United Kingdom
537374,22561,WOODEN SCHOOL COLOURING SET,5,12/6/2010 12:55,1.65,17259.0,United Kingdom
575607,21231,SWEETHEART CERAMIC TRINKET BOX,4,11/10/2011 12:37,2.46,14096.0,United Kingdom
554310,85039A,SET/4 RED MINI ROSE CANDLE IN BOWL,1,5/23/2011 15:25,1.63,,United Kingdom
579412,22028,PENNY FARTHING BIRTHDAY CARD,12,11/29/2011 12:47,0.42,14125.0,United Kingdom
569005,23355,HOT WATER BOTTLE KEEP CALM,4,9/29/2011 18:30,4.95,16268.0,United Kingdom
558777,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,1,7/4/2011 10:23,5.79,,United Kingdom
540520,22636,CHILDS BREAKFAST SET CIRCUS PARADE,1,1/9/2011 12:31,8.5,17555.0,United Kingdom
552310,20658,RED RETROSPOT LUGGAGE TAG,2,5/8/2011 15:22,1.25,17323.0,United Kingdom
559816,22982,PANTRY PASTRY BRUSH,1,7/12/2011 16:11,2.46,,United Kingdom
574619,22632,HAND WARMER RED RETROSPOT,8,11/6/2011 11:18,2.1,15952.0,United Kingdom
581587,22138,BAKING SET 9 PIECE RETROSPOT ,3,12/9/2011 12:50,4.95,12680.0,France
544434,22966,GINGERBREAD MAN COOKIE CUTTER,2,2/18/2011 16:12,2.46,,United Kingdom
568898,22099,CARAVAN SQUARE TISSUE BOX,36,9/29/2011 13:17,0.39,13354.0,United Kingdom
556242,21700,sold as set on dotcom and amazon,-1206,6/9/2011 16:06,0.0,,United Kingdom
551340,21974,SET OF 36 PAISLEY FLOWER DOILIES,1,4/27/2011 17:23,2.92,,United Kingdom
577069,23146,TRIPLE HOOK ANTIQUE IVORY ROSE,4,11/17/2011 14:51,3.29,12704.0,Finland
566219,21181,PLEASE ONE PERSON METAL SIGN,12,9/9/2011 15:51,2.1,17426.0,United Kingdom
576676,23174,REGENCY SUGAR BOWL GREEN,4,11/16/2011 12:03,4.15,16855.0,United Kingdom
570690,22739,RIBBON REEL CHRISTMAS SOCK BAUBLE,2,10/11/2011 16:37,3.29,,United Kingdom
573585,22583,PACK OF 6 HANDBAG GIFT BOXES,1,10/31/2011 14:41,4.96,,United Kingdom
543411,84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,12,2/8/2011 11:31,1.25,12576.0,Poland
